     3.000      2.000      3.000      3.000      3.000      2.000      2.000      1.000      4.000      0.826      0.514      0.561      0.317 1
     3.000      1.000      3.000      2.000      1.000      1.000      2.000      1.000      4.000      0.117      0.307     -1.279      0.310 1
     3.000      2.000      3.000      3.000      2.000      0.000      1.000      0.000      5.000      0.933      0.556     -1.424      0.305 1
     0.000      0.000      0.000      0.000      3.000      1.000      3.000      2.000      5.000     -2.123      0.444      1.234      0.453 1
     2.000      1.000      2.000      3.000      3.000      0.000      3.000      2.000      5.000     -0.240      0.286      1.085      0.401 1
     1.000      0.000      1.000      1.000      2.000      0.000      2.000      1.000      5.000     -1.110      0.317     -0.502      0.585 1
     2.000      1.000      2.000      2.000      2.000      1.000      1.000      1.000      5.000     -0.324      0.281     -1.088      0.348 1
     2.000      1.000      2.000      2.000      0.000      0.000      0.000      0.000      5.000     -0.299      0.281     -2.707      0.404 1
     1.000      0.000      3.000      1.000      2.000      0.000      2.000      1.000      5.000     -0.646      0.298     -0.532      0.576 1
     2.000      0.000      1.000      3.000      3.000          *      3.000      2.000      4.000     -0.619      0.296      1.236      0.460 1
     2.000      1.000      2.000      2.000      3.000      0.000      2.000      1.000      5.000     -0.349      0.281      0.478      0.314 1
     3.000      2.000      3.000      3.000      2.000      2.000      2.000      1.000      5.000      0.867      0.530     -0.297      0.595 1
     1.000      0.000      1.000      1.000      2.000      1.000      1.000      1.000      5.000     -1.099      0.317     -1.069      0.351 1
     3.000      2.000          *      2.000      3.000      2.000      2.000      1.000      3.000      0.217      0.409      0.583      0.318 1
     1.000      1.000      2.000      2.000      2.000      1.000      1.000      0.000      5.000     -0.539      0.289     -1.347      0.309 1
         *      2.000          *      3.000      2.000      0.000      1.000      0.000      5.000      0.643      0.694     -1.419      0.305 1
     3.000      2.000      3.000      3.000      2.000      1.000      2.000      1.000      3.000      0.884      0.537     -0.398      0.598 1
     3.000      2.000      3.000      1.000      2.000      2.000      3.000      1.000      5.000      0.291      0.356      0.390      0.336 1
     1.000      2.000          *      2.000      0.000      0.000      0.000      0.000      5.000     -0.433      0.351     -2.702      0.403 1
