     3.000     2.000     3.000     3.000     2.000     1.000     2.000     1.000     2.000     1.000     1.000     3.000     1.000     3.000     0.000     2.000     1.000     1.000     3.000     1.000     2.000     1.000     2.000     1.000     5.000     3.000     1.000     0.747     0.527     0.704     0.279     0.472     0.411    -0.331     0.335     0.174     0.408     0.237     0.502 1
     2.000     2.000     2.000     3.000     2.000     1.000     1.000     1.000     1.000     2.000     2.000     3.000     2.000     3.000     0.000     0.000     0.000     1.000     1.000     1.000     2.000     0.000     2.000     1.000     4.000     2.000     0.903    -0.172     0.305     0.142     0.327     1.123     0.426    -1.401     0.566    -0.761     0.417     0.334     0.485 1
     3.000     2.000     3.000     3.000     1.000     1.000     2.000     0.000     2.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     2.000     2.000     2.000     2.000     2.000     1.000     4.000     3.000     1.084     0.689     0.504     0.516     0.247    -0.452     0.404    -0.492     0.347     0.026     0.413     0.308     0.492 1
     3.000     2.000     3.000     3.000     2.000     1.000     1.000     2.000     2.000     2.000     1.000     0.000     0.000     2.000     1.000     2.000     2.000     2.000     3.000     2.000     2.000     0.000     2.000     1.000     5.000     3.000     1.000     0.817     0.556     0.598     0.260    -0.378     0.408     0.665     0.365     0.095     0.386     0.057     0.498 1
     2.000     1.000     1.000     1.000     0.000     1.000     2.000         *     0.000     1.000         *         *         *         *     0.000     1.000     0.000     1.000     2.000     3.000     2.000     2.000     2.000     1.000     3.000     3.000     0.600    -0.801     0.293    -0.894     0.247    -0.207     0.687    -1.013     0.440     0.324     0.409     0.274     0.501 1
     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     2.000     3.000     1.000     3.000     0.000     1.000     0.000     2.000     1.000     1.000     3.000     1.000     2.000     1.000     5.000     2.000     1.000    -0.308     0.297     1.253     0.520     1.118     0.427    -1.067     0.456    -1.218     0.405     1.133     0.312 1
     3.000     2.000     3.000     3.000     0.000     0.000     1.000     0.000     1.000     0.000     1.000     1.000     0.000         *     0.000     1.000     0.000     1.000     2.000     1.000     2.000         *     2.000     1.000     5.000     3.000     1.000     0.585     0.468    -0.822     0.249    -0.662     0.443    -0.938     0.420    -0.280     0.422     0.169     0.518 1
     3.000     2.000     3.000     3.000     1.000     2.000     2.000     1.000     2.000     2.000     1.000     1.000     1.000     2.000     1.000     1.000     1.000     2.000     0.000     0.000     2.000     0.000     2.000     1.000     5.000     3.000     1.000     0.656     0.492     0.835     0.327     0.009     0.405    -0.025     0.363    -1.914     0.449     0.440     0.451 1
     3.000     2.000     3.000     3.000     1.000     1.000     1.000     2.000     1.000     2.000     1.000     1.000     0.000     2.000     2.000     2.000     2.000     1.000     3.000     2.000     1.000     0.000     1.000     0.000     5.000     2.000     1.204     0.954     0.620    -0.223     0.425    -0.309     0.407     1.315     0.476     0.706     0.415    -1.172     0.303 1
     2.000     1.000     2.000     2.000     1.000         *     1.000     1.000     0.000     1.000     0.000     2.000     1.000     1.000     1.000     1.000     2.000     0.000     3.000     2.000     0.000     0.000     0.000     0.000     5.000     3.000     1.000    -0.415     0.288    -1.090     0.319    -0.770     0.398     0.433     0.367     1.110     0.444    -1.976     0.370 1
     2.000     0.000     1.000     2.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     2.000     1.000     2.000     1.000     1.000     1.000     1.000     3.000     1.000     1.000     0.000     1.000     0.000     5.000     2.000     1.204    -0.814     0.299    -0.379     0.383    -0.689     0.408    -0.042     0.362     0.296     0.406    -1.137     0.301 1
     3.000     2.000     3.000         *     2.000     2.000     2.000     1.000     2.000     2.000     2.000     3.000     3.000     3.000     1.000     1.000     1.000     1.000     2.000     2.000     2.000     2.000     2.000     1.000     5.000     3.000     1.024     0.741     0.564     1.264     0.525     1.474     0.458    -0.010     0.364     0.036     0.412     0.479     0.437 1
     3.000     2.000     3.000     3.000     1.000     1.000     1.000     2.000     1.000     1.000     1.000     2.000     1.000     2.000     2.000     2.000     2.000     1.000     2.000     1.000     2.000     0.000     2.000     1.000     5.000     3.000     1.088     0.826     0.561    -0.139     0.423    -0.047     0.402     1.287     0.465    -0.220     0.421     0.117     0.506 1
     3.000     2.000     3.000     3.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     3.000     1.000     1.000     1.000     1.000     2.000     1.000     2.000     2.000     2.000     1.000     5.000     3.000     1.088     0.791     0.546     1.417     0.578     1.038     0.420    -0.010     0.364    -0.312     0.420     0.501     0.429 1
     2.000     0.000     1.000     3.000     1.000     1.000     1.000     2.000     1.000     0.000     0.000     2.000     1.000     2.000     2.000     2.000     2.000     1.000     3.000     3.000     2.000     1.000     2.000     2.000     5.000     2.000     1.000    -0.667     0.301    -0.246     0.422    -0.581     0.405     1.230     0.443     0.754     0.424     0.690     0.332 1
